spotify_id,name,followers,popularity,genres,chart_hits
4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,1948195,71,"['canadian hip hop', 'pop']","['us (2)', 'gb (2)', 'au (2)', 'at (3)', 'be (2)', 'bo (1)', 'br (1)', 'bg (2)', 'ca (7)', 'cr (1)', 'cy (2)', 'cz (2)', 'dk (2)', 'ec (1)', 'eg (4)', 'ee (2)', 'fi (2)', 'de (3)', 'gr (2)', 'hn (1)', 'hk (2)', 'hu (2)', 'is (2)', 'in (2)', 'id (1)', 'ie (2)', 'il (2)', 'it (2)', 'lv (2)', 'lt (2)', 'lu (3)', 'my (10)', 'mt (3)', 'ma (2)', 'nl (2)', 'nz (2)', 'ni (1)', 'no (3)', 'pe (1)', 'ph (2)', 'pl (1)', 'pt (2)', 'ro (2)', 'sa (4)', 'sg (7)', 'sk (2)', 'za (3)', 'kr (1)', 'es (1)', 'se (2)', 'ch (3)', 'tw (2)', 'th (2)', 'ae (5)', 'vn (2)']"
4WZGDpNwrC0vNQyl9QzF7d,Capital Bra,4309526,71,['german hip hop'],"['at (119)', 'fi (1)', 'de (139)', 'lu (77)', 'ch (116)']"
74ASZWbe4lXaubB36ztrGX,Bob Dylan,5775647,71,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']","['au (1)', 'fr (1)', 'hu (1)', 'it (1)', 'lv (1)', 'lu (1)', 'mt (1)', 'nz (1)', 'pl (1)', 'pt (1)', 'sk (1)', 'se (1)']"
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,4266197,71,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']",['es (1)']
1MRiIeZbc0cRuxOafDUCtH,BLANCO,1196764,71,['italian pop'],"['it (16)', 'ch (3)']"
4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,5980662,71,['opm'],"['ph (34)', 'ae (9)']"
3FoFW2AoUGRHBacC6i4x4p,Russ Millions,259,71,"['melodic drill', 'uk drill']","['gb (5)', 'au (2)', 'at (1)', 'be (2)', 'bg (2)', 'ca (1)', 'cy (4)', 'dk (2)', 'eg (1)', 'ee (3)', 'fi (1)', 'fr (1)', 'de (1)', 'gr (1)', 'hu (1)', 'is (2)', 'ie (3)', 'il (1)', 'it (1)', 'lv (2)', 'lt (1)', 'lu (5)', 'ma (1)', 'nl (1)', 'nz (2)', 'no (2)', 'pt (1)', 'ro (1)', 'sa (1)', 'sk (1)', 'za (1)', 'se (2)', 'ch (4)', 'ae (2)']"
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,2320438,71,"['neo mellow', 'permanent wave', 'pop rock']","['us (1)', 'gb (1)', 'au (1)', 'at (1)', 'be (1)', 'ca (1)', 'cz (1)', 'ee (1)', 'is (1)', 'id (1)', 'ie (1)', 'lv (1)', 'lu (1)', 'my (1)', 'mt (1)', 'nl (1)', 'nz (1)', 'no (1)', 'ph (1)', 'pt (1)', 'se (1)', 'tw (1)', 'ae (1)']"
3SUT1jjM5hzZj9TLfLZGIP,Tego Calderón,3555493,71,"['latin hip hop', 'rap boricua', 'reggaeton', 'trap latino']","['bo (1)', 'cl (1)', 'co (1)', 'cr (1)', 'do (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (1)', 'ni (1)', 'pa (1)', 'py (1)', 'pe (1)']"
1CoZyIx7UvdxT5c8UkMzHd,Jorja Smith,2844582,71,"['pop', 'r&b', 'uk contemporary r&b', 'uk pop']","['us (1)', 'gb (19)', 'au (2)', 'be (2)', 'bg (2)', 'ca (2)', 'cy (2)', 'dk (2)', 'ee (2)', 'fr (3)', 'gr (2)', 'hu (1)', 'is (1)', 'id (1)', 'ie (4)', 'lv (2)', 'lt (2)', 'lu (2)', 'my (1)', 'mt (1)', 'nl (1)', 'nz (2)', 'no (1)', 'pt (4)', 'ro (1)', 'sk (2)', 'za (2)', 'se (1)', 'ch (2)', 'th (1)', 'ae (1)']"
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,5040763,71,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'nu metal', 'political hip hop', 'rap metal', 'rap rock', 'rock']","['br (1)', 'ca (1)', 'nz (1)', 'pt (1)']"
1tG7s7S4sq2eFFW0QZyLbm,Sheff G,737642,71,"['brooklyn drill', 'new york drill', 'nyc rap', 'rap']","['us (1)', 'ca (2)']"
7gP3bB2nilZXLfPHJhMdvc,Foster The People,3512215,71,"['indietronica', 'modern rock', 'rock']","['us (2)', 'gb (1)', 'ar (1)', 'au (1)', 'at (1)', 'be (1)', 'bo (1)', 'br (3)', 'bg (2)', 'ca (1)', 'cl (3)', 'co (1)', 'cr (1)', 'cz (2)', 'ec (1)', 'sv (1)', 'ee (2)', 'fr (1)', 'gr (2)', 'gt (1)', 'hn (1)', 'hu (2)', 'ie (1)', 'it (1)', 'lv (2)', 'lt (2)', 'lu (1)', 'my (1)', 'mt (2)', 'mx (1)', 'nl (1)', 'nz (1)', 'ni (1)', 'py (1)', 'pe (3)', 'pl (1)', 'pt (1)', 'ro (1)', 'sg (1)', 'sk (2)', 'es (1)', 'ch (1)', 'tr (1)', 'uy (1)']"
2GoeZ0qOTt6kjsWW4eA6LS,Darshan Raval,7089783,71,"['desi pop', 'gujarati pop', 'modern bollywood']",['in (15)']
6nxWCVXbOlEVRexSbLsTer,Flume,2305308,71,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']","['us (2)', 'gb (2)', 'au (37)', 'at (2)', 'be (5)', 'bo (1)', 'br (1)', 'bg (2)', 'ca (2)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (2)', 'cz (3)', 'dk (1)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (6)', 'fi (1)', 'fr (2)', 'de (2)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (3)', 'is (3)', 'id (2)', 'ie (2)', 'it (2)', 'lv (4)', 'lt (5)', 'lu (3)', 'my (2)', 'mt (3)', 'mx (1)', 'nl (2)', 'nz (26)', 'ni (1)', 'no (2)', 'pa (2)', 'py (1)', 'ph (2)', 'pl (6)', 'pt (4)', 'sg (2)', 'sk (3)', 'es (1)', 'se (2)', 'ch (3)', 'tw (2)', 'tr (3)', 'uy (1)']"
